ID,Cow ID,Date,Ruminating(min),Eating(min),Sitting(min),Standing(min),Coughing(count),Resting(min),Activity Rate,Mounting(count),Sniffing,Heat Detection(count),SIT+STAND(min),Data Collection Rate(%)
2,COW-10000246,21/06/2025,459.5,243.6667,822.5,618.3333,0,206.3333,74.20208712706086,4,139.84400544571974,0,1440.8333,100
2,COW-10000246,22/06/2025,359.5,259.1667,751.6667,689.3333,0,224.8333,80.91975646026704,10,147.7273063,0,1441,100
2,COW-10000246,23/06/2025,390.6667,252.6667,746.1667,694.5,0,207.3333,79.04711213612767,7,137.39051448145932,0,1440.6667,100
2,COW-10000246,24/06/2025,438.3333,289.5,793.5,647,0,170.5,86.0570376,7,146.87024511204652,0,1440.5,100
2,COW-10000246,25/06/2025,389.8333,265.8333,682.5,758.1667,0,180.6667,87.71656754832199,11,154.88746330617812,0,1440.6667,100
2,COW-10000246,26/06/2025,503.3333,305.8333,819.8333,621,0,158.5,82.58993546158817,2,136.51632870463985,0,1440.8333,100
2,COW-10000246,27/06/2025,393.8333,196.3333,712.5,728.3333,0,193.3333,93.46571391576146,18,165.21989627129912,3,1440.8333,100
2,COW-10000246,28/06/2025,358.6667,205.8333,805.8333,635,0,247.6667,79.45700611580031,7,142.7499380823227,0,1440.8333,100
2,COW-10000246,29/06/2025,246.1667,269.5,561.3333,879.3333,0,170,120.24167422286233,16,196.10899793279773,1,1440.6667,100
2,COW-10000246,30/06/2025,473.3333,219.5,691.6667,749.1667,2,133,93.17630454968551,16,171.2782472044557,0,1440.8333,100
2,COW-10000246,01/07/2025,402.6667,180.3333,753.3333,687.1667,0,191.1667,86.30624266,6,145.9844118520147,0,1440.5,100
2,COW-10000246,02/07/2025,249.5,149.6667,569.1667,871.3333,0,134,103.38390720645049,15,178.1740365364369,0,1440.5,100
2,COW-10000246,03/07/2025,291.1667,258.8333,632.3333,808.5,0,99.1667,107.72712703106926,25,183.68016513804605,5,1440.8333,100
2,COW-10000246,04/07/2025,299.5,177,797.1667,643.3333,0,201,78.16135154476076,14,140.33827706093896,0,1440.5,100
2,COW-10000246,05/07/2025,252.3333,215.1667,743.3333,696.8333,0,191.6667,82.95631609116421,14,146.9008745163241,0,1440.1667,100
2,COW-10000246,06/07/2025,281.3333,230.3333,715.8333,724.8333,0,182.6667,87.88688762052254,26,152.16379664331495,0,1440.6667,100
2,COW-10000246,07/07/2025,291.3333,171.3333,790.8333,649.6667,0,179.5,80.51454706,16,136.5866709069964,0,1440.5,100
2,COW-10000246,08/07/2025,252.6667,109.3333,806.6667,634.1667,2,219.6667,66.82689293,15,122.95212383281296,0,1440.8333,100
2,COW-10000246,09/07/2025,114,134.1667,738,702.6667,0,325.3333,79.38773409849182,11,139.82809901733964,0,1440.6667,100
2,COW-10000246,10/07/2025,204,154.6667,721.6667,719.1667,0,212.8333,76.65244785,20,137.59120480044857,0,1440.8333,100
2,COW-10000246,11/07/2025,151.8333,172,744.6667,695.6667,0,258.1667,74.16405541619281,11,134.2456598,0,1440.3333,100
2,COW-10000246,12/07/2025,134.5,162.6667,747.1667,693.6667,0,216.5,73.54383940997324,17,133.89994968217948,0,1440.8333,100
2,COW-10000246,13/07/2025,175.3333,200.3333,748,692.6667,0,195.1667,73.79808389715771,5,134.23777681321582,0,1440.6667,100
2,COW-10000246,14/07/2025,218.5,204.8333,747.8333,692.8333,3,210.5,77.41131840343554,8,134.86730768855995,0,1440.6667,100
2,COW-10000246,15/07/2025,311.1667,255.6667,603.6667,696.6667,0,141.6667,85.48556311457166,6,145.34035853562187,0,1300.3333,90
2,COW-10000246,16/07/2025,310.5,128.1667,796.8333,644,0,192.8333,71.21239973148766,7,127.17912646371413,0,1440.8333,100
2,COW-10000246,17/07/2025,131.1667,136,684.3333,755.5,2,209.6667,79.81211402099129,7,154.5353068702681,0,1439.8333,100
2,COW-10000246,18/07/2025,191.6667,311.1667,554.8333,885.8333,0,190.3333,131.33854355430339,17,200.43998358151472,0,1440.6667,100
2,COW-10000246,19/07/2025,337.1667,251.1667,669.3333,771.1667,0,98.5,110.81555795630936,18,188.3831707399283,0,1440.5,100
2,COW-10000246,20/07/2025,283.8333,292.8333,582.6667,858.1667,0,148.6667,129.19587975805933,18,204.82065856077548,0,1440.8333,100
2,COW-10000246,21/07/2025,321,458,638.1667,802.6667,0,128.6667,137.14710211326374,17,209.39668519156322,0,1440.8333,100
2,COW-10000246,22/07/2025,256.3333,167,635,805.8333,0,170.1667,98.91785135704909,21,164.60878980028758,24,1440.8333,100
2,COW-10000246,23/07/2025,257.6667,127.3333,704.1667,736.5,0,165.6667,84.93052878461464,17,139.4593924628756,0,1440.6667,100
2,COW-10000246,24/07/2025,249.1667,127.3333,643,797.8333,0,157.5,89.71101548838574,26,151.8265214746849,0,1440.8333,100
2,COW-10000246,25/07/2025,186.8333,71,753.5,687.3333,0,195.8333,82.09978339050187,15,149.24897817189188,0,1440.8333,100
2,COW-10000246,26/07/2025,86.5,198.3333,449.3333,991.5,0,123.8333,107.45686304148667,63,199.8934665865261,36,1440.8333,100
2,COW-10000246,27/07/2025,223.8333,172.1667,858.1667,582.6667,0,222.6667,74.10338039629855,6,115.9271690471797,0,1440.8333,100
2,COW-10000246,28/07/2025,279.5,567.8333,626,814.1667,0,193.1667,144.70584197916816,19,201.54223353784678,0,1440.1667,100
2,COW-10000246,29/07/2025,313.1667,159,954,485.3333,0,257.5,59.02098216833892,3,96.8930689,0,1439.3333,100
2,COW-10000246,30/07/2025,186.1667,157.5,891.5,549.3333,0,314.3333,56.84730194427155,4,99.45206038727108,0,1440.8333,100
2,COW-10000246,31/07/2025,220.6667,251.1667,681.1667,759.5,0,213.5,79.77905909808793,14,139.55043665185562,0,1440.6667,100
2,COW-10000246,01/08/2025,398,213,853.3333,587.3333,0,167.8333,74.88158201741047,12,124.90228318550254,0,1440.6667,100
2,COW-10000246,02/08/2025,378.1667,185.6667,918,522.8333,2,204.6667,65.99182429,9,110.70168006757976,0,1440.8333,100
2,COW-10000246,03/08/2025,323.6667,242.3333,853.6667,587.1667,2,227.8333,77.36886366341692,4,129.50741664738652,0,1440.8333,100
2,COW-10000246,04/08/2025,412.5,188.5,919,521.8333,0,146.3333,73.08275291394332,10,119.1997291781159,0,1440.8333,100
2,COW-10000246,05/08/2025,358.1667,186.1667,829.3333,611.5,0,193,75.09531178868804,11,125.76876022003508,0,1440.8333,100
2,COW-10000246,06/08/2025,335,388.8333,721.5,719.1667,0,204.3333,117.89989813010706,15,174.9893700122171,0,1440.6667,100
2,COW-10000246,07/08/2025,316.3333,177.8333,860,580.6667,0,241.6667,64.15666992385208,8,109.76217353526005,0,1440.6667,100
2,COW-10000246,08/08/2025,263,139.3333,700.6667,740.1667,2,221,72.1321912,38,131.40297291801457,28,1440.8333,100
2,COW-10000246,09/08/2025,242.8333,225,873.3333,567.5,2,335.6667,60.53914510397086,3,108.02477448851197,4,1440.8333,100
2,COW-10000246,10/08/2025,330,123.8333,907.3333,533.5,6,303,52.88797674846484,4,96.19973760729513,0,1440.8333,100
2,COW-10000246,11/08/2025,230.3333,407.5,724.6667,716,0,249.3333,115.7385151168915,33,158.53454591995146,0,1440.6667,100
2,COW-10000246,12/08/2025,286,136.1667,914.1667,526.5,0,285.6667,61.63959812091931,7,106.55107665315705,0,1440.6667,100
2,COW-10000246,13/08/2025,349.1667,280.6667,810.8333,629.8333,0,211.1667,76.51294053345573,10,127.62658193342006,0,1440.6667,100
2,COW-10000246,14/08/2025,399.1667,421.8333,674.1667,766.5,0,159.8333,109.03568121306823,15,163.41297208352643,0,1440.6667,100
2,COW-10000246,15/08/2025,375.1667,237.6667,695,745.6667,0,183.1667,90.00431187006127,5,161.0273929449873,0,1440.6667,100
2,COW-10000246,16/08/2025,397.5,320.1667,689.6667,751.1667,0,174.6667,92.05591281871011,10,159.00058988755396,0,1440.8333,100
2,COW-10000246,17/08/2025,501.6667,226.3333,840.1667,600.6667,0,149.6667,78.83623796,5,131.2597734022168,0,1440.8333,100
